x,y,z,roll,pitch,yaw,
0.830717,0.468358,0.05,0,-0,3.99258e-12,
0.830717,0.468358,0.05,0,-0,3.99258e-12,
0.830717,0.468358,0.05,0,-0,3.99258e-12,
0.830717,0.468358,0.05,0,-0,3.99258e-12,
0.830717,0.468358,0.05,0,-0,3.99258e-12,
0.830717,0.468358,0.05,0,-0,3.99258e-12,
0.830717,0.468358,0.05,0,-0,3.99258e-12,
0.830717,0.468358,0.05,0,-0,3.99258e-12,
0.830717,0.468358,0.05,0,-0,3.99258e-12,
0.830717,0.468358,0.05,0,-0,3.99258e-12,
0.830717,0.468358,0.05,0,-0,4.06281e-12,
0.829268,0.465703,0.05,0,-0,-0.00258833,
0.827474,0.460399,0.05,0,-0,-0.00916306,
0.825502,0.454604,0.05,0,-0,-0.0163311,
0.823355,0.448294,0.05,0,-0,-0.0241371,
0.821034,0.44147,0.05,0,-0,-0.0325804,
0.818032,0.432642,0.05,0,-0,-0.0435048,
0.815869,0.426279,0.05,0,-0,-0.0513774,
0.813025,0.417913,0.05,0,-0,-0.0617305,
0.810007,0.409033,0.05,0,-0,-0.0727199,
0.806814,0.39964,0.05,0,-0,-0.0843454,
0.803447,0.389732,0.05,0,-0,-0.0966072,
0.799906,0.379311,0.05,0,-0,-0.109505,
0.79619,0.368376,0.05,0,-0,-0.123038,
0.791514,0.354616,0.05,0,-0,-0.140069,
0.788243,0.344992,0.05,0,-0,-0.151981,
0.784004,0.332516,0.05,0,-0,-0.167423,
0.77959,0.319526,0.05,0,-0,-0.183501,
0.775002,0.306023,0.05,0,-0,-0.200216,
0.769279,0.289181,0.05,0,-0,-0.221063,
0.765318,0.277522,0.05,0,-0,-0.235494,
0.760206,0.262478,0.05,0,-0,-0.254116,
0.75492,0.24692,0.05,0,-0,-0.273374,
0.749459,0.230849,0.05,0,-0,-0.293268,
0.743823,0.214264,0.05,0,-0,-0.313797,
0.738013,0.197166,0.05,0,-0,-0.334963,
0.732028,0.179554,0.05,0,-0,-0.356764,
0.725868,0.16143,0.05,0,-0,-0.379201,
0.719532,0.142787,0.05,0,-0,-0.40228,
0.713024,0.123635,0.05,0,-0,-0.425989,
0.706341,0.10397,0.05,0,-0,-0.450333,
0.699483,0.0837909,0.05,0,-0,-0.475314,
0.692451,0.0630986,0.05,0,-0,-0.50093,
0.685244,0.0418928,0.05,0,-0,-0.527182,
0.677863,0.0201735,0.05,0,-0,-0.554069,
0.668789,-0.00652797,0.05,0,-0,-0.587125,
0.662608,-0.0247151,0.05,0,-0,-0.609639,
0.654854,-0.0475341,0.05,0,-0,-0.637889,
0.647097,-0.0703618,0.05,0,-0,-0.666149,
0.63934,-0.0931897,0.05,0,-0,-0.694409,
0.631583,-0.116018,0.05,0,-0,-0.722669,
0.623826,-0.138846,0.05,0,-0,-0.750929,
0.614517,-0.16624,0.05,0,-0,-0.784841,
0.608312,-0.184503,0.05,0,-0,-0.807449,
0.600555,-0.207332,0.05,0,-0,-0.835709,
0.592797,-0.230161,0.05,0,-0,-0.863969,
0.58504,-0.25299,0.05,0,-0,-0.892229,
0.577296,-0.27578,0.05,0,-0,-0.92044,
0.569673,-0.298217,0.05,0,-0,-0.948214,
0.562217,-0.320157,0.05,0,-0,-0.975374,
0.554936,-0.341583,0.05,0,-0,-1.0019,
0.547829,-0.362501,0.05,0,-0,-1.02779,
0.540897,-0.3829,0.05,0,-0,-1.05304,
0.53414,-0.402785,0.05,0,-0,-1.07766,
0.527558,-0.422157,0.05,0,-0,-1.10164,
0.52115,-0.441014,0.05,0,-0,-1.12498,
0.51491,-0.459379,0.05,0,-0,-1.14772,
0.508852,-0.477209,0.05,0,-0,-1.16979,
0.502968,-0.494525,0.05,0,-0,-1.19122,
0.496125,-0.514667,0.05,0,-0,-1.21616,
0.491725,-0.527616,0.05,0,-0,-1.23219,
0.486366,-0.543391,0.05,0,-0,-1.25171,
0.480151,-0.561683,0.05,0,-0,-1.27436,
0.476167,-0.57341,0.05,0,-0,-1.28887,
0.471331,-0.587643,0.05,0,-0,-1.30649,
0.46667,-0.601363,0.05,0,-0,-1.32348,
0.462184,-0.614569,0.05,0,-0,-1.33982,
0.457872,-0.627261,0.05,0,-0,-1.35554,
0.453735,-0.639439,0.05,0,-0,-1.37061,
0.449763,-0.65113,0.05,0,-0,-1.38508,
0.445975,-0.662281,0.05,0,-0,-1.39889,
0.442361,-0.672919,0.05,0,-0,-1.41206,
0.438922,-0.683043,0.05,0,-0,-1.42459,
0.435658,-0.692653,0.05,0,-0,-1.43648,
0.432568,-0.701749,0.05,0,-0,-1.44774,
0.429653,-0.710332,0.05,0,-0,-1.45837,
0.426908,-0.718412,0.05,0,-0,-1.46837,
0.424341,-0.725969,0.05,0,-0,-1.47773,
0.42194,-0.733037,0.05,0,-0,-1.48648,
0.419723,-0.739565,0.05,0,-0,-1.49456,
0.41768,-0.74558,0.05,0,-0,-1.502,
0.415811,-0.751081,0.05,0,-0,-1.50881,
0.41411,-0.756089,0.05,0,-0,-1.51501,
0.412591,-0.760562,0.05,0,-0,-1.52055,
0.411246,-0.764522,0.05,0,-0,-1.52545,
0.410076,-0.767968,0.05,0,-0,-1.52972,
0.409078,-0.770906,0.05,0,-0,-1.53335,
0.408256,-0.773325,0.05,0,-0,-1.53635,
0.407609,-0.77523,0.05,0,-0,-1.53871,
0.407137,-0.776622,0.05,0,-0,-1.54043,
